Symptoms,Disease
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Cervical spondylosis
"pus filled pimples, blackheads, scurring,",Allergy
"constipation, pain during bowel movements, pain in anal region, bloody stool",Paralysis (brain hemorrhage)
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",hepatitis A
"vomiting, breathlessness, chest pain,",AIDS
"joint pain, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Heart attack
"skin rash, joint pain, silver like dusting, small dents in nails, inflammatory nails",Heart attack
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Alcoholic hepatitis
"skin rash, pus filled pimples, blackheads,",Hypertension
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Heart attack
"chills, fatigue, cough, high fever, breathlessness, sweating, phlegm, chest pain, fast heart rate, rusty sputum,",Typhoid
"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes",Hepatitis C
"itching, skin rash, stomach pain, spotting  urination",Allergy
"weakness in limbs, neck pain, dizziness, loss of balance",Varicose veins
"vomiting, sunken eyes, dehydration, diarrhoea",(vertigo) Paroymsal  Positional Vertigo
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Typhoid
"vomiting, headache, nausea, spinning movements, loss of balance",Arthritis
"vomiting, fatigue, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Hypoglycemia
"vomiting, headache, spinning movements, loss of balance, unsteadiness",Hepatitis B
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Malaria
"muscle wasting, high fever, extra marital contacts,",Drug Reaction
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Cervical spondylosis
"weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Alcoholic hepatitis
"cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Hypothyroidism
"skin rash, skin peeling, silver like dusting, small dents in nails, inflammatory nails",Impetigo
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Hepatitis E
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",(vertigo) Paroymsal  Positional Vertigo
"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",Impetigo
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Migraine
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Paralysis (brain hemorrhage)
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Paralysis (brain hemorrhage)
"constipation, pain during bowel movements, pain in anal region, bloody stool",Hypertension
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Dimorphic hemmorhoids(piles)
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,",Tuberculosis
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",AIDS
"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption,",Urinary tract infection
"back pain, neck pain, dizziness, loss of balance",Cervical spondylosis
"itching, skin rash, dischromic  patches,",Hepatitis C
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Bronchial Asthma
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Alcoholic hepatitis
"chills, fatigue, cough, high fever, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,","Chronic cholestasis,"
"joint pain, knee pain, hip joint pain, swelling joints, painful walking",Fungal infection
"bladder discomfort, foul smell of urine, continuous feel of urine,",Urinary tract infection
"stomach pain, ulcers on tongue, vomiting, cough, chest pain",AIDS
"fatigue, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Hypothyroidism
"fatigue, cramps, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Osteoarthristis
"fatigue, cramps, bruising, obesity, swollen blood vessels, prominent veins on calf,",AIDS
"joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking,",Hepatitis D
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Fungal infection
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",Urinary tract infection
"headache, chest pain, dizziness, loss of balance, lack of concentration",Hypothyroidism
"vomiting, sweating, chest pain,",Heart attack
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,",Typhoid
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",Hypothyroidism
"chills, fatigue, cough, high fever, breathlessness, sweating, phlegm, chest pain, fast heart rate, rusty sputum,",Typhoid
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",hepatitis A
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",Alcoholic hepatitis
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Malaria
"constipation, pain during bowel movements, pain in anal region, irritation in anus",Paralysis (brain hemorrhage)
"constipation, pain during bowel movements, bloody stool, irritation in anus",Diabetes
"itching, skin rash, stomach pain, burning micturition",Acne
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",Malaria
"headache, dizziness, loss of balance, lack of concentration",Fungal infection
"itching, skin rash, dischromic  patches,",Varicose veins
"headache, dizziness, loss of balance, lack of concentration",Hepatitis B
"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes","Chronic cholestasis,"
"vomiting, headache, nausea, loss of balance, unsteadiness",Hypothyroidism
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Paralysis (brain hemorrhage)
"chills, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Dimorphic hemmorhoids(piles)
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Osteoarthristis
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Bronchial Asthma
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Peptic ulcer diseae
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Heart attack
"muscle wasting, patches in throat, high fever,",Bronchial Asthma
"skin rash, nodal skin eruptions, dischromic  patches,",Tuberculosis
"headache, dizziness, loss of balance, lack of concentration",Hypoglycemia
"itching, skin rash, stomach pain, spotting  urination",GERD
"acidity, ulcers on tongue, vomiting, cough, chest pain",Malaria
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Common Cold
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Acne
"fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Pneumonia
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",Diabetes
"skin rash, pus filled pimples, blackheads,",Psoriasis
"vomiting, loss of appetite, abdominal pain, passage of gases, internal itching",Osteoarthristis
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Drug Reaction
"joint pain, neck pain, knee pain, hip joint pain, painful walking",Urinary tract infection
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Malaria
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections,",Hepatitis E
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Hepatitis C
"skin rash, pus filled pimples, blackheads,",Dengue
"vomiting, breathlessness, chest pain,",Tuberculosis
"vomiting, sweating, chest pain,",Dimorphic hemmorhoids(piles)
"itching, skin rash, stomach pain, burning micturition, spotting  urination",AIDS
"fatigue, weight gain, cold hands and feets, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Hypothyroidism
"itching, skin rash, stomach pain, burning micturition",GERD
"continuous sneezing, shivering, chills, watering from eyes",Impetigo
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",Chicken pox
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",Fungal infection
"skin rash, high fever, red sore around nose, yellow crust ooze",Impetigo
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Paralysis (brain hemorrhage)
"itching, skin rash, stomach pain, burning micturition",Hypertension
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",hepatitis A
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Psoriasis
"continuous sneezing, chills, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Hypothyroidism
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Heart attack
"itching, skin rash, stomach pain, burning micturition",Allergy
"weakness in limbs, neck pain, dizziness, loss of balance","Chronic cholestasis,"
"itching, skin rash, fatigue, lethargy, high fever, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,",Dengue
"fatigue, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",AIDS
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Jaundice
"vomiting, nausea, spinning movements, loss of balance, unsteadiness",Arthritis
"fatigue, mood swings, weight loss, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Dengue
"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload",Diabetes
"fatigue, mood swings, weight loss, restlessness, sweating, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Peptic ulcer diseae
"itching, skin rash, dischromic  patches,","Chronic cholestasis,"
"muscle weakness, swelling joints, movement stiffness, painful walking",Alcoholic hepatitis
"vomiting, fatigue, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Dimorphic hemmorhoids(piles)
"weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Hepatitis B
